Tank,"BDO, mg/L","Acetate, mg/L","OD, raw","Feed Scale, kg","F_in, sccm",x_argon_in_raw,x_carbon_dioxide_in_raw,x_ethane_in_raw,x_hydrogen_in_raw,x_methane_in_raw,x_nitrogen_in_raw,x_oxygen_in_raw,x_propane_in_raw,x_argon_out_raw,x_carbon_dioxide_out_raw,x_ethane_out_raw,x_hydrogen_out_raw,x_methane_out_raw,x_nitrogen_out_raw,x_oxygen_out_raw,x_propane_out_raw
0,,,,,,,,,,,,,,,,,,,,,
1,"2,3-butanediol",acetate,od,scales_pumps.scale_feed,flows.flow_air,blend_ref.offgas2.argon_raw,blend_ref.offgas2.carbon_dioxide_raw,blend_ref.offgas2.ethane_raw,blend_ref.offgas2.hydrogen_raw,blend_ref.offgas2.methane_raw,blend_ref.offgas2.nitrogen_raw,blend_ref.offgas2.oxygen_raw,blend_ref.offgas2.propane_raw,offgas2.argon_raw,offgas2.carbon_dioxide_raw,offgas2.ethane_raw,offgas2.hydrogen_raw,offgas2.methane_raw,offgas2.nitrogen_raw,offgas2.oxygen_raw,offgas2.propane_raw
2,"2,3-butanediol",acetate,od,scales_pumps.scale_feed,flows.flow_air,blend_ref.offgas2.argon_raw,blend_ref.offgas2.carbon_dioxide_raw,blend_ref.offgas2.ethane_raw,blend_ref.offgas2.hydrogen_raw,blend_ref.offgas2.methane_raw,blend_ref.offgas2.nitrogen_raw,blend_ref.offgas2.oxygen_raw,blend_ref.offgas2.propane_raw,offgas2.argon_raw,offgas2.carbon_dioxide_raw,offgas2.ethane_raw,offgas2.hydrogen_raw,offgas2.methane_raw,offgas2.nitrogen_raw,offgas2.oxygen_raw,offgas2.propane_raw
3,"2,3-butanediol",acetate,od,scales_pumps.scale_feed,flows.flow_air,blend_ref.offgas2.argon_raw,blend_ref.offgas2.carbon_dioxide_raw,blend_ref.offgas2.ethane_raw,blend_ref.offgas2.hydrogen_raw,blend_ref.offgas2.methane_raw,blend_ref.offgas2.nitrogen_raw,blend_ref.offgas2.oxygen_raw,blend_ref.offgas2.propane_raw,offgas2.argon_raw,offgas2.carbon_dioxide_raw,offgas2.ethane_raw,offgas2.hydrogen_raw,offgas2.methane_raw,offgas2.nitrogen_raw,offgas2.oxygen_raw,offgas2.propane_raw
4,"2,3-butanediol",acetate,od,scales_pumps.scale_feed,flows.flow_air,blend_ref.offgas2.argon_raw,blend_ref.offgas2.carbon_dioxide_raw,blend_ref.offgas2.ethane_raw,blend_ref.offgas2.hydrogen_raw,blend_ref.offgas2.methane_raw,blend_ref.offgas2.nitrogen_raw,blend_ref.offgas2.oxygen_raw,blend_ref.offgas2.propane_raw,offgas2.argon_raw,offgas2.carbon_dioxide_raw,offgas2.ethane_raw,offgas2.hydrogen_raw,offgas2.methane_raw,offgas2.nitrogen_raw,offgas2.oxygen_raw,offgas2.propane_raw
5,"2,3-butanediol",acetate,od,scales_pumps.scale_feed,flows.flow_air,blend_ref.offgas2.argon_raw,blend_ref.offgas2.carbon_dioxide_raw,blend_ref.offgas2.ethane_raw,blend_ref.offgas2.hydrogen_raw,blend_ref.offgas2.methane_raw,blend_ref.offgas2.nitrogen_raw,blend_ref.offgas2.oxygen_raw,blend_ref.offgas2.propane_raw,offgas2.argon_raw,offgas2.carbon_dioxide_raw,offgas2.ethane_raw,offgas2.hydrogen_raw,offgas2.methane_raw,offgas2.nitrogen_raw,offgas2.oxygen_raw,offgas2.propane_raw
6,"2,3-butanediol",acetate,od,scales_pumps.scale_feed,flows.flow_air,blend_ref.offgas2.argon_raw,blend_ref.offgas2.carbon_dioxide_raw,blend_ref.offgas2.ethane_raw,blend_ref.offgas2.hydrogen_raw,blend_ref.offgas2.methane_raw,blend_ref.offgas2.nitrogen_raw,blend_ref.offgas2.oxygen_raw,blend_ref.offgas2.propane_raw,offgas2.argon_raw,offgas2.carbon_dioxide_raw,offgas2.ethane_raw,offgas2.hydrogen_raw,offgas2.methane_raw,offgas2.nitrogen_raw,offgas2.oxygen_raw,offgas2.propane_raw
7,"2,3-butanediol",acetate,od,scales_pumps.scale_feed,flows.flow_air,blend_ref.offgas1.argon_raw,blend_ref.offgas1.carbon_dioxide_raw,blend_ref.offgas1.ethane_raw,blend_ref.offgas1.hydrogen_raw,blend_ref.offgas1.methane_raw,blend_ref.offgas1.nitrogen_raw,blend_ref.offgas1.oxygen_raw,blend_ref.offgas1.propane_raw,offgas1.argon_raw,offgas1.carbon_dioxide_raw,offgas1.ethane_raw,offgas1.hydrogen_raw,offgas1.methane_raw,offgas1.nitrogen_raw,offgas1.oxygen_raw,offgas1.propane_raw
8,"2,3-butanediol",acetate,od,scales_pumps.scale_feed,flows.flow_air,blend_ref.offgas1.argon_raw,blend_ref.offgas1.carbon_dioxide_raw,blend_ref.offgas1.ethane_raw,blend_ref.offgas1.hydrogen_raw,blend_ref.offgas1.methane_raw,blend_ref.offgas1.nitrogen_raw,blend_ref.offgas1.oxygen_raw,blend_ref.offgas1.propane_raw,offgas1.argon_raw,offgas1.carbon_dioxide_raw,offgas1.ethane_raw,offgas1.hydrogen_raw,offgas1.methane_raw,offgas1.nitrogen_raw,offgas1.oxygen_raw,offgas1.propane_raw
9,"2,3-butanediol",acetate,od,scales_pumps.scale_feed,flows.flow_blend,hood_blend_ref.offgas1.argon_raw,hood_blend_ref.offgas1.carbon_dioxide_raw,hood_blend_ref.offgas1.ethane_raw,hood_blend_ref.offgas1.hydrogen_raw,hood_blend_ref.offgas1.methane_raw,hood_blend_ref.offgas1.nitrogen_raw,hood_blend_ref.offgas1.oxygen_raw,hood_blend_ref.offgas1.propane_raw,offgas1.argon_raw,offgas1.carbon_dioxide_raw,offgas1.ethane_raw,offgas1.hydrogen_raw,offgas1.methane_raw,offgas1.nitrogen_raw,offgas1.oxygen_raw,offgas1.propane_raw
10,"2,3-butanediol",acetate,od,scales_pumps.scale_feed,flows.flow_blend,hood_blend_ref.offgas1.argon_raw,hood_blend_ref.offgas1.carbon_dioxide_raw,hood_blend_ref.offgas1.ethane_raw,hood_blend_ref.offgas1.hydrogen_raw,hood_blend_ref.offgas1.methane_raw,hood_blend_ref.offgas1.nitrogen_raw,hood_blend_ref.offgas1.oxygen_raw,hood_blend_ref.offgas1.propane_raw,offgas1.argon_raw,offgas1.carbon_dioxide_raw,offgas1.ethane_raw,offgas1.hydrogen_raw,offgas1.methane_raw,offgas1.nitrogen_raw,offgas1.oxygen_raw,offgas1.propane_raw
11,"2,3-butanediol",acetate,od,scales_pumps.scale_feed,flows.flow_blend,hood_blend_ref.offgas1.argon_raw,hood_blend_ref.offgas1.carbon_dioxide_raw,hood_blend_ref.offgas1.ethane_raw,hood_blend_ref.offgas1.hydrogen_raw,hood_blend_ref.offgas1.methane_raw,hood_blend_ref.offgas1.nitrogen_raw,hood_blend_ref.offgas1.oxygen_raw,hood_blend_ref.offgas1.propane_raw,offgas1.argon_raw,offgas1.carbon_dioxide_raw,offgas1.ethane_raw,offgas1.hydrogen_raw,offgas1.methane_raw,offgas1.nitrogen_raw,offgas1.oxygen_raw,offgas1.propane_raw
12,"2,3-butanediol",acetate,od,scales_pumps.scale_feed,flows.flow_blend,hood_blend_ref.offgas1.argon_raw,hood_blend_ref.offgas1.carbon_dioxide_raw,hood_blend_ref.offgas1.ethane_raw,hood_blend_ref.offgas1.hydrogen_raw,hood_blend_ref.offgas1.methane_raw,hood_blend_ref.offgas1.nitrogen_raw,hood_blend_ref.offgas1.oxygen_raw,hood_blend_ref.offgas1.propane_raw,offgas1.argon_raw,offgas1.carbon_dioxide_raw,offgas1.ethane_raw,offgas1.hydrogen_raw,offgas1.methane_raw,offgas1.nitrogen_raw,offgas1.oxygen_raw,offgas1.propane_raw
13,"t13.2,3-butanediol",t13.acetate,t13.od,t13.scales_pumps.scale_feed,t13.flows.flow_blend,hood_blend_ref.offgas1.argon_raw,hood_blend_ref.offgas1.carbon_dioxide_raw,hood_blend_ref.offgas1.ethane_raw,hood_blend_ref.offgas1.hydrogen_raw,hood_blend_ref.offgas1.methane_raw,hood_blend_ref.offgas1.nitrogen_raw,hood_blend_ref.offgas1.oxygen_raw,hood_blend_ref.offgas1.propane_raw,t13.offgas1.argon_raw,t13.offgas1.carbon_dioxide_raw,t13.offgas1.ethane_raw,t13.offgas1.hydrogen_raw,t13.offgas1.methane_raw,t13.offgas1.nitrogen_raw,t13.offgas1.oxygen_raw,t13.offgas1.propane_raw
14,"t14.2,3-butanediol",t14.acetate,t14.od,t14.scales_pumps.scale_feed,t14.flows.flow_blend,hood_blend_ref.offgas1.argon_raw,hood_blend_ref.offgas1.carbon_dioxide_raw,hood_blend_ref.offgas1.ethane_raw,hood_blend_ref.offgas1.hydrogen_raw,hood_blend_ref.offgas1.methane_raw,hood_blend_ref.offgas1.nitrogen_raw,hood_blend_ref.offgas1.oxygen_raw,hood_blend_ref.offgas1.propane_raw,t14.offgas1.argon_raw,t14.offgas1.carbon_dioxide_raw,t14.offgas1.ethane_raw,t14.offgas1.hydrogen_raw,t14.offgas1.methane_raw,t14.offgas1.nitrogen_raw,t14.offgas1.oxygen_raw,t14.offgas1.propane_raw
